,fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
0,2013,US,AK,Aleutians East Borough,county,,iso1:us#iso2:us-ak#fips:02013,,3337,,other,4.281005180016268,,4.18465838066,1.2539370625600004,,,,3,4,1,4,3,4,4,364,3.0,,,,,,,,,,,,0,,1152.0,984.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/aleutians_east_borough,0.3452735151333533,0.2948756367995205,0.0,
1,2016,US,AK,Aleutians West Census Area,county,,iso1:us#iso2:us-ak#fips:02016,,5634,0.0294,other,12.678127694102134,,0.86553317737,1.0841836300799998,inf,,,2,0,2,4,0,4,4,691,0.0,,,,0.0,,,,0.0,,,,1,,1866.0,1594.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/aleutians_west_census_area,0.3312804827831026,0.28292509762158324,0.0,
2,2020,US,AK,Anchorage Municipality,county,,iso1:us#iso2:us-ak#fips:02020,,288000,0.0178,other,12.450396825396824,,0.8528564590459999,0.22193684020400006,0.1002785514483904,,0.922005571052366,2,0,2,4,0,0,3,30043,171.0,,,,1149.0,449.0,14.0,0.66,51.0,47.0,2.0,0.71,79,,130548.0,111493.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/anchorage_municipality,0.4532934965277777,0.38712847222222224,0.0,
3,2050,US,AK,Bethel Census Area,county,,iso1:us#iso2:us-ak#fips:02050,,18386,0.0026,other,3.884943512921322,,0.630672190307,0.963307838083,inf,,,1,0,1,4,0,4,4,3874,21.0,,,,37.0,,,0.4,0.0,,,,0,,9087.0,7761.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/bethel_census_area,0.4942592467094528,0.4221146524529533,0.0,
4,2060,US,AK,Bristol Bay Borough,county,,iso1:us#iso2:us-ak#fips:02060,,836,,other,102.52904989747095,,0.701884873144,1.0100047038859996,,,,5,4,5,4,0,4,4,582,3.0,,,,,,,,,,,,0,,507.0,433.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/bristol_bay_borough,0.6064653516746411,0.5179425837320574,0.0,
5,2068,US,AK,Denali Borough,county,,iso1:us#iso2:us-ak#fips:02068,,2097,0.0962,other,13.62490632876899,,,,,,,2,1,2,4,4,4,4,101,0.0,,,,,,,,,,,,0,,867.0,741.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/denali_borough,0.4137558550309965,0.35336194563662376,0.0,
6,2070,US,AK,Dillingham Census Area,county,,iso1:us#iso2:us-ak#fips:02070,,4916,0.0076,other,0.0,,,,inf,,,0,0,0,4,4,4,4,228,2.0,,,,18.0,,,0.15,0.0,,,,0,,1908.0,1630.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/dillingham_census_area,0.3882398454027665,0.33157038242473563,0.0,
7,2090,US,AK,Fairbanks North Star Borough,county,,iso1:us#iso2:us-ak#fips:02090,,96849,0.0845,other,47.34911342103982,,1.21238898806,0.20952956493,0.17982018041958045,,0.6263736261538462,3,1,3,4,2,0,0,7653,37.0,,,,175.0,55.0,9.0,0.46,13.0,8.0,1.0,0.66,86,,33345.0,28478.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/fairbanks_north_star_borough,0.3443013453933442,0.294045369595969,0.0,
8,2100,US,AK,Haines Borough,county,,iso1:us#iso2:us-ak#fips:02100,,2530,,other,5.646527385657821,,,,,,,1,4,1,4,4,4,4,28,0.0,,,,,,,,,,,,0,,1559.0,1332.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/haines_borough,0.6164645098814229,0.5264822134387351,0.0,
9,2105,US,AK,Hoonah-Angoon Census Area,county,,iso1:us#iso2:us-ak#fips:02105,,2148,,other,0.0,,,,,,,0,4,0,4,4,4,4,0,0.0,,,,,,,,,,,,0,,1303.0,1113.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/hoonah_angoon_census_area,0.6067157402234636,0.5181564245810056,0.0,
10,2110,US,AK,Juneau City and Borough,county,,iso1:us#iso2:us-ak#fips:02110,,31974,0.008,other,8.935831791902348,,0.8585774316850001,0.8478408613749999,,,0.39682539666666666,1,0,1,4,0,4,0,1363,3.0,,,,73.0,31.0,0.0,0.41,9.0,3.0,1.0,0.32,12,,19123.0,16332.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/juneau_city_and_borough,0.5980903233877526,0.510790016888722,0.0,
11,2122,US,AK,Kenai Peninsula Borough,county,,iso1:us#iso2:us-ak#fips:02122,,58708,0.0319,other,10.220072221843699,,0.669234194418,0.5180924743020001,0.2747252744755244,,0.6623376627272727,2,1,2,4,0,0,0,4416,19.0,,,,77.0,49.0,3.0,0.56,11.0,7.0,1.0,0.69,10,,21267.0,18163.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/kenai_peninsula_borough,0.3622552360836683,0.3093786196089119,0.0,
12,2130,US,AK,Ketchikan Gateway Borough,county,,iso1:us#iso2:us-ak#fips:02130,,13901,0.014,other,22.608856505698462,,1.16242174399,0.8780193021900002,0.10582010574074073,,,2,0,2,4,2,0,4,434,1.0,,,,25.0,8.0,0.0,0.42,6.0,2.0,0.0,0.31,10,,6709.0,5730.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/ketchikan_gateway_borough,0.4826507150564707,0.41220056111071146,0.0,
13,2150,US,AK,Kodiak Island Borough,county,,iso1:us#iso2:us-ak#fips:02150,,12998,0.0142,other,7.693491306354822,,1.1845184221,1.1284410790900004,,,0.2857142855,2,0,1,4,2,4,0,1106,5.0,,,,25.0,6.0,0.0,0.22,2.0,0.0,1.0,,5,,6438.0,5499.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/kodiak_island_borough,0.4953721218649023,0.4230650869364518,0.0,
14,2158,US,AK,Kusilvak Census Area,county,,iso1:us#iso2:us-ak#fips:02158,,8314,0.0058,other,20.619265266847652,,1.0119819758600002,0.87501882558,,,,2,0,2,4,1,4,4,1276,4.0,,,,,,,,,,,,1,,,,2021-05-04,https://covidactnow.org/us/alaska-ak/county/kusilvak_census_area,,,0.0,
15,2164,US,AK,Lake and Peninsula Borough,county,,iso1:us#iso2:us-ak#fips:02164,,1592,,other,0.0,,,,,,,0,4,0,4,4,4,4,121,0.0,,,,,,,,,,,,0,,737.0,630.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/lake_and_peninsula_borough,0.4633635433417085,0.3957286432160804,0.0,
16,2170,US,AK,Matanuska-Susitna Borough,county,,iso1:us#iso2:us-ak#fips:02170,,108317,0.0462,other,25.586275205448562,,0.812723798989,0.247086457421,0.42903525081168825,,0.8673469357142858,3,1,3,4,0,0,3,11369,46.0,,,,125.0,78.0,10.0,0.72,14.0,12.0,5.0,0.33,50,,28727.0,24534.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/matanuska_susitna_borough,0.2652137965416324,0.22650184181615074,1.0,
17,2180,US,AK,Nome Census Area,county,,iso1:us#iso2:us-ak#fips:02180,,10004,0.002,other,2.8560004569600728,,,,inf,,,1,0,1,4,4,4,4,351,0.0,,,,36.0,,,,0.0,,,,0,,5653.0,4828.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/nome_census_area,0.565090431827269,0.4826069572171132,0.0,
18,2185,US,AK,North Slope Borough,county,,iso1:us#iso2:us-ak#fips:02185,,9832,0.0229,other,11.62385214460072,,1.20566572606,0.9899870976299999,inf,,,2,0,2,4,2,4,4,1068,4.0,,,,20.0,,,0.06,0.0,,,,3,,2842.0,2428.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/north_slope_borough,0.28915532038242475,0.2469487388120423,0.0,
19,2188,US,AK,Northwest Arctic Borough,county,,iso1:us#iso2:us-ak#fips:02188,,7621,0.0048,other,7.498078617354302,,1.24139190472,1.0854833675700002,inf,,,2,0,1,4,2,4,4,616,2.0,,,,17.0,,,0.23,0.0,,,,3,,3179.0,2715.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/northwest_arctic_borough,0.4171403949612912,0.3562524603070463,0.0,
20,2195,US,AK,Petersburg Borough,county,,iso1:us#iso2:us-ak#fips:02195,,3266,0.01,other,0.0,,0.955874810529,1.2692477750009998,,,,0,0,0,4,1,4,4,159,0.0,,,,12.0,5.0,0.0,0.26,0.0,,,,0,,2105.0,1798.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/petersburg_borough,0.6446112522963872,0.5505205143906919,0.0,
21,2198,US,AK,Prince of Wales-Hyder Census Area,county,,iso1:us#iso2:us-ak#fips:02198,,6203,0.0625,other,18.42426475668455,,,,,,,2,1,2,4,4,4,4,99,1.0,,,,,,,,,,,,3,,2423.0,2070.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/prince_of_wales_hyder_census_area,0.3907445590843141,0.333709495405449,0.0,
22,2220,US,AK,Sitka City and Borough,county,,iso1:us#iso2:us-ak#fips:02220,,8493,0.006,other,1.6820574927251009,,,,inf,,,1,0,1,4,4,4,4,339,0.0,,,,52.0,,,0.37,0.0,,,,1,,5386.0,4600.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/sitka_city_and_borough,0.6341924726245144,0.5416225126574826,0.0,
23,2230,US,AK,Skagway Municipality,county,,iso1:us#iso2:us-ak#fips:02230,,1183,,other,0.0,,,,,,,0,4,0,4,4,4,4,20,0.0,,,,,,,,,,,,0,,789.0,674.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/skagway_municipality,0.6671131893491125,0.569737954353339,0.0,
24,2240,US,AK,Southeast Fairbanks Census Area,county,,iso1:us#iso2:us-ak#fips:02240,,6893,0.012,other,29.014942695488173,,1.05478718508,0.8615844203600005,,,,3,0,3,4,1,4,4,672,4.0,,,,,,,,,,,,5,,1606.0,1372.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/southeast_fairbanks_census_area,0.2330613230813869,0.19904250689104888,0.0,
25,2261,US,AK,Valdez-Cordova Census Area,county,,iso1:us#iso2:us-ak#fips:02261,,9202,0.024,other,9.314745241717636,,,,inf,,,1,0,1,4,4,4,4,637,2.0,,,,24.0,3.0,1.0,0.22,0.0,,,,2,,3990.0,3227.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/valdez_cordova_census_area,0.4337033797000652,0.35068463377526626,0.0,
26,2275,US,AK,Wrangell City and Borough,county,,iso1:us#iso2:us-ak#fips:02275,,2502,0.0058,other,11.419435879867535,,,,inf,,,2,0,2,4,4,4,4,52,0.0,,,,8.0,,,0.19,0.0,,,,1,,1208.0,1032.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/wrangell_city_and_borough,0.4829662310151878,0.41247002398081534,0.0,
